1p.prs	1p.pst	3p.prs	3p.pst
nitpick	nitpicked	nitpicks	nitpicked
nix	nixed	nixes	nixed
nobble	nobbled	nobbles	nobbled
nod	nodded	nods	nodded
nominate	nominated	nominates	nominated
nonplus	nonplussed	nonplusses	nonplussed
noose	noosed	nooses	noosed
normalize	normalized	normalizes	normalized
nose	nosed	noses	nosed
nosedive	nosedived	nosedives	nosedived
nosh	noshed	noshes	noshed
notarize	notarized	notarizes	notarized
notate	notated	notates	notated
notch	notched	notches	notched
note	noted	notes	noted
notice	noticed	notices	noticed
notify	notified	notifies	notified
nourish	nourished	nourishes	nourished
nuance	nuanced	nuances	nuanced
nudge	nudged	nudges	nudged
nullify	nullified	nullifies	nullified
numb	numbed	numbs	numbed
number	numbered	numbers	numbered
numerate	numerated	numerates	numerated
nurse	nursed	nurses	nursed
nurture	nurtured	nurtures	nurtured
nuzzle	nuzzled	nuzzles	nuzzled
obey	obeyed	obeys	obeyed
obfuscate	obfuscated	obfuscates	obfuscated
object	objected	objects	objected
objurgate	objurgated	objurgates	objurgated
obligate	obligated	obligates	obligated
oblige	obliged	obliges	obliged
obliterate	obliterated	obliterates	obliterated
obscure	obscured	obscures	obscured
observe	observed	observes	observed
obsess	obsessed	obsesses	obsessed
obsolesce	obsolesced	obsolesces	obsolesced
obstruct	obstructed	obstructs	obstructed
obtain	obtained	obtains	obtained
obtrude	obtruded	obtrudes	obtruded
obviate	obviated	obviates	obviated
occasion	occasioned	occasions	occasioned
occupy	occupied	occupies	occupied
occur	occurred	occurs	occurred
offend	offended	offends	offended
offer	offered	offers	offered
officiate	officiated	officiates	officiated
off-load	off-loaded	off-loads	off-loaded
offset	offset	offsets	offset
ogle	ogled	ogles	ogled
oil	oiled	oils	oiled
oink	oinked	oinks	oinked
okay	okayed	okays	okayed
omen	omened	omens	omened
omit	omitted	omits	omitted
ooze	oozed	oozes	oozed
opalesce	opalesced	opalesces	opalesced
open	opened	opens	opened
operate	operated	operates	operated
opine	opined	opines	opined
